Pilot;Field Name;Field Description;Field Longitude;Field Latitude;Device ID;Device Description;Device Type;Device EUI;Property Key;Property Name;Property Description;Unit Of Measurement;Unit Of Measurement Symbol;Datastream Name;Datastream Description
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D001;Compact and versatile environmental sensor module designed for monitoring temperature and humidity in various applications.;ST01;2cf7f1c043500183;air_temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;�C;Demo_Field_D001_air_temperature;The datastream containing mesures of field Demo Field by sensor D001 which measures Air Temperature.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D001;Compact and versatile environmental sensor module designed for monitoring temperature and humidity in various applications.;ST01;2cf7f1c043500183;air_humidity;Air Humidity;The amount of moisture or water vapor present in the air, often expressed as a percentage of the maximum amount the air could hold at a given temperature.;Percentage;%;Demo_Field_D001_air_humidity;The datastream containing mesures of field Demo Field by sensor D001 which measures Air Humidity.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D001;Compact and versatile environmental sensor module designed for monitoring temperature and humidity in various applications.;ST01;2cf7f1c043500183;co2_concentration;CO2 Concentration;The quantity of carbon dioxide gas present in the air, used to assess air quality and monitor environmental conditions.;Parts per million;ppm;Demo_Field_D001_co2_concentration;The datastream containing mesures of field Demo Field by sensor D001 which measures CO2 Concentration.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D002;A sensor module for measuring soil moisture and temperature, ideal for agriculture and environmental monitoring.;ST02;2CF7F12031500017;soil_moisture;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D002_soil_moisture;The datastream containing mesures of field Demo Field by sensor D002 which measures Soil Moisture.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D002;A sensor module for measuring soil moisture and temperature, ideal for agriculture and environmental monitoring.;ST02;2CF7F12031500017;soil_temperature;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;�C;Demo_Field_D002_soil_temperature;The datastream containing mesures of field Demo Field by sensor D002 which measures Soil Temperature.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;battery_level;Battery Level;The percentage of battery level associated to the specific sensor.;Percentage;%;Demo_Field_D003_battery_level;The datastream containing mesures of field Demo Field by sensor D003 which measures Battery Level.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;valve1_pulse;Flowmeter pulses;The number of pulses read by flowmeter. Depending on flowmeter configuration it could correspond to a different number of cubic meter of water;Number of pulses;N/A;Demo_Field_D003_valve1_pulse;The datastream containing mesures of field Demo Field by sensor D003 which measures Flowmeter pulses.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;valve1_status;Valve status;The current condition of the valve controlled (opened or closed);ON / OFF;N/A;Demo_Field_D003_valve1_status;The datastream containing mesures of field Demo Field by sensor D003 which measures Valve status.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;valve2_pulse;Flowmeter pulses;The number of pulses read by flowmeter. Depending on flowmeter configuration it could correspond to a different number of cubic meter of water;Number of pulses;N/A;Demo_Field_D003_valve2_pulse;The datastream containing mesures of field Demo Field by sensor D003 which measures Flowmeter pulses.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;valve2_status;Valve status;The current condition of the valve controlled (opened or closed);ON / OFF;N/A;Demo_Field_D003_valve2_status;The datastream containing mesures of field Demo Field by sensor D003 which measures Valve status.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_moisture_1;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D004_soil_moisture_1;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Moisture.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_moisture_2;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D004_soil_moisture_2;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Moisture.
Demo;Demo Field;Demo sensors in ABI;8,56432347;40,72700569;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_moisture_3;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D004_soil_moisture_3;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Moisture.
